,지역번호,지역,2008년01월_계,2008년02월_계,2008년03월_계,2008년04월_계,2008년05월_계,2008년06월_계,2008년07월_계,2008년08월_계,2008년09월_계,2008년10월_계,2008년11월_계,2008년12월_계
2509,4423025300,충청남도 논산시 연무읍,10,14,15,11,9,11,12,10,12,16,8,15
2510,4423031000,충청남도 논산시 성동면,1,1,2,4,1,0,2,1,3,0,1,3
2511,4423032000,충청남도 논산시 광석면,4,3,1,2,2,2,1,7,4,1,3,2
2512,4423033000,충청남도 논산시 노성면,2,3,2,2,2,3,0,2,3,1,4,2
2513,4423034000,충청남도 논산시 상월면,3,3,1,2,5,1,1,1,3,3,0,2
2514,4423035000,충청남도 논산시 부적면,2,3,2,2,0,2,2,2,0,0,1,5
2515,4423036000,충청남도 논산시 연산면,5,7,3,0,3,6,5,3,2,3,0,2
2516,4423038000,충청남도 논산시 벌곡면,1,0,2,1,0,0,0,2,2,1,0,0
2517,4423039000,충청남도 논산시 양촌면,1,3,5,3,1,2,1,4,4,4,1,3
2518,4423040000,충청남도 논산시 가야곡면,3,2,3,1,2,0,2,1,2,1,0,6
