YYMM,경상북도 군위군 ,전라남도 함평군 ,경상북도 청송군 ,충청남도 청양군 ,경상북도 영양군 ,전라남도 신안군 ,경상북도 의성군 ,경상남도 남해군 ,경상북도 봉화군 ,전라남도 보성군 ,충청북도 괴산군 ,경상남도 산청군 ,경상남도 합천군 ,경상남도 의령군 ,경상북도 예천군 ,전라북도 임실군 ,경상북도 영덕군 ,경상북도 청도군 ,전라남도 곡성군 ,전라남도 진도군 ,충청북도 보은군 ,전라남도 장흥군 ,충청남도 서천군 ,전라북도 순창군 
1410,8353,11224,8298,9942,5837,13617,19459,15593,10397,15059,11103,11250,16701,9399,14612,9317,12632,13542,9748,9969,10009,12374,17181,9125
1411,8373,11227,8310,9962,5840,13647,19468,15580,10423,15087,11116,11274,16706,9399,14631,9317,12630,13580,9768,9951,10011,12403,17184,9126
1412,8382,11233,8325,9976,5835,13627,19472,15577,10425,15084,11171,11294,16784,9407,14644,9353,12639,13615,9782,9953,10020,12506,17192,9160
1501,8413,11232,8344,9993,5830,13620,19512,15590,10431,15095,11217,11320,16730,9420,14690,9353,12654,13642,9794,9981,10028,12442,17222,9126
1502,8412,11228,8364,10029,5838,13611,19546,15605,10437,15120,11235,11341,16760,9414,14718,9364,12668,13685,9793,10016,10057,12438,17262,9125
1503,8412,11233,8375,10053,5835,13641,19604,15605,10467,15135,11256,11370,16767,9429,14751,9381,12706,13708,9784,10009,10065,12435,17303,9103
1504,8406,11224,8388,10066,5830,13645,19614,15636,10476,15131,11289,11402,16764,9443,14760,9394,12719,13754,9791,10003,10057,12441,17336,9103
1505,8445,11248,8400,10088,5840,13671,19640,15658,10492,15121,11300,11447,16803,9458,14786,9411,12725,13758,9821,10011,10062,12451,17402,9102
1506,8458,11255,8407,10082,5838,13687,19631,15665,10493,15121,11289,11432,16821,9454,14808,9425,12750,13774,9823,10029,10048,12468,17404,9113
1507,8475,11245,8422,10104,5841,13722,19639,15679,10484,15150,11317,11446,16846,9459,14812,9421,12749,13803,9852,10064,10063,12481,17418,9138
1508,8476,11237,8426,10116,5852,13711,19648,15654,10480,15174,11318,11463,16817,9461,14820,9426,12739,13825,9852,10088,10081,12479,17436,9147
